source,site,dt,year,month,doy,parameter,concentration
DEP,BMR02,2018-05-10T00:00:00Z,2018,May,130,DIN,0.11
DEP,BMR02,2018-05-10T00:00:00Z,2018,May,130,TN,1.056
DEP,BMR02,2018-05-31T00:00:00Z,2018,May,151,DIN,0.057
DEP,BMR02,2018-05-31T00:00:00Z,2018,May,151,TN,0.395
DEP,BMR02,2018-06-25T00:00:00Z,2018,Jun,176,DIN,0.031
DEP,BMR02,2018-06-25T00:00:00Z,2018,Jun,176,TN,0.423
DEP,BMR02,2018-07-18T00:00:00Z,2018,Jul,199,DIN,0.077
DEP,BMR02,2018-07-18T00:00:00Z,2018,Jul,199,TN,0.387
DEP,BMR02,2018-08-30T00:00:00Z,2018,Aug,242,DIN,0.081
DEP,BMR02,2018-08-30T00:00:00Z,2018,Aug,242,TN,0.396
DEP,BMR02,2018-09-20T00:00:00Z,2018,Sep,263,DIN,0.073
DEP,BMR02,2018-09-20T00:00:00Z,2018,Sep,263,TN,0.183
DEP,BMR02,2018-10-12T00:00:00Z,2018,Oct,285,DIN,0.11100000000000002
DEP,BMR02,2018-10-12T00:00:00Z,2018,Oct,285,TN,0.215
DEP,BMR02,2019-05-15T00:00:00Z,2019,May,135,DIN,0.4148
DEP,BMR02,2019-05-15T00:00:00Z,2019,May,135,TN,0.459
DEP,BMR02,2019-06-05T00:00:00Z,2019,Jun,156,DIN,4.0522
DEP,BMR02,2019-06-05T00:00:00Z,2019,Jun,156,TN,0.258
DEP,BMR02,2019-06-27T00:00:00Z,2019,Jun,178,DIN,0.0387
DEP,BMR02,2019-06-27T00:00:00Z,2019,Jun,178,TN,0.303
DEP,BMR02,2019-07-19T00:00:00Z,2019,Jul,200,DIN,0.0612
DEP,BMR02,2019-07-19T00:00:00Z,2019,Jul,200,TN,0.276
DEP,BMR02,2019-09-03T00:00:00Z,2019,Sep,246,DIN,0.022600000000000002
DEP,BMR02,2019-09-03T00:00:00Z,2019,Sep,246,TN,0.356
DEP,BMR02,2019-09-24T00:00:00Z,2019,Sep,267,DIN,0.0241
DEP,BMR02,2019-09-24T00:00:00Z,2019,Sep,267,TN,0.317
DEP,BMR02,2019-10-16T00:00:00Z,2019,Oct,289,DIN,0.047799999999999995
DEP,BMR02,2019-10-16T00:00:00Z,2019,Oct,289,TN,0.195
DEP,P7CBI,2018-05-10T00:00:00Z,2018,May,130,DIN,0.032
DEP,P7CBI,2018-05-10T00:00:00Z,2018,May,130,TN,0.144
DEP,P7CBI,2018-08-08T00:00:00Z,2018,Aug,220,DIN,0.033
DEP,P7CBI,2018-08-08T00:00:00Z,2018,Aug,220,TN,0.151
DEP,P7CBI,2019-06-05T00:00:00Z,2019,Jun,156,DIN,4.0353
DEP,P7CBI,2019-06-05T00:00:00Z,2019,Jun,156,TN,0.449
DEP,P7CBI,2019-06-27T00:00:00Z,2019,Jun,178,DIN,0.008
DEP,P7CBI,2019-06-27T00:00:00Z,2019,Jun,178,TN,0.181
DEP,P7CBI,2019-07-19T00:00:00Z,2019,Jul,200,DIN,0.022
DEP,P7CBI,2019-07-19T00:00:00Z,2019,Jul,200,TN,0.191
DEP,P7CBI,2019-08-12T00:00:00Z,2019,Aug,224,DIN,0.051000000000000004
DEP,P7CBI,2019-08-12T00:00:00Z,2019,Aug,224,TN,0.185
DEP,P7CBI,2019-09-03T00:00:00Z,2019,Sep,246,DIN,0.0121
DEP,P7CBI,2019-09-03T00:00:00Z,2019,Sep,246,TN,0.291
DEP,P7CBI,2019-09-24T00:00:00Z,2019,Sep,267,DIN,0.060000000000000005
DEP,P7CBI,2019-09-24T00:00:00Z,2019,Sep,267,TN,0.25
DEP,P7CBI,2019-10-16T00:00:00Z,2019,Oct,289,DIN,0.052000000000000005
DEP,P7CBI,2019-10-16T00:00:00Z,2019,Oct,289,TN,0.25
DEP,CR00,2017-06-01T00:00:00Z,2017,Jun,152,DIN,0.109
DEP,CR00,2017-06-01T00:00:00Z,2017,Jun,152,TN,0.358
DEP,CR00,2017-06-26T00:00:00Z,2017,Jun,177,DIN,0.154
DEP,CR00,2017-06-26T00:00:00Z,2017,Jun,177,TN,0.84
DEP,CR00,2017-07-17T00:00:00Z,2017,Jul,198,DIN,0.5429999999999999
DEP,CR00,2017-07-17T00:00:00Z,2017,Jul,198,TN,0.834
DEP,CR00,2017-08-07T00:00:00Z,2017,Aug,219,DIN,0.34
DEP,CR00,2017-08-07T00:00:00Z,2017,Aug,219,TN,0.665
DEP,CR00,2017-08-29T00:00:00Z,2017,Aug,241,DIN,0.30300000000000005
DEP,CR00,2017-08-29T00:00:00Z,2017,Aug,241,TN,0.486
DEP,CR00,2017-09-20T00:00:00Z,2017,Sep,263,DIN,0.42599999999999993
DEP,CR00,2017-09-20T00:00:00Z,2017,Sep,263,TN,0.717
DEP,CR-31,2016-07-08T00:00:00Z,2016,Jul,190,DIN,0.129
DEP,CR-31,2016-07-08T00:00:00Z,2016,Jul,190,TN,0.391
DEP,CR-31,2017-06-01T00:00:00Z,2017,Jun,152,DIN,0.114
DEP,CR-31,2017-06-01T00:00:00Z,2017,Jun,152,TN,0.412
DEP,CR-31,2017-06-26T00:00:00Z,2017,Jun,177,DIN,0.045
DEP,CR-31,2017-06-26T00:00:00Z,2017,Jun,177,TN,0.264
DEP,CR-31,2017-07-17T00:00:00Z,2017,Jul,198,DIN,0.374
DEP,CR-31,2017-07-17T00:00:00Z,2017,Jul,198,TN,0.739
DEP,CR-31,2017-08-07T00:00:00Z,2017,Aug,219,DIN,0.07500000000000001
DEP,CR-31,2017-08-07T00:00:00Z,2017,Aug,219,TN,0.292
DEP,CR-31,2017-08-29T00:00:00Z,2017,Aug,241,DIN,0.369
DEP,CR-31,2017-08-29T00:00:00Z,2017,Aug,241,TN,0.807
DEP,CR-31,2017-09-20T00:00:00Z,2017,Sep,263,DIN,0.11
DEP,CR-31,2017-09-20T00:00:00Z,2017,Sep,263,TN,0.205
DEP,CRTRIB0,2017-06-01T00:00:00Z,2017,Jun,152,DIN,0.18200000000000002
DEP,CRTRIB0,2017-06-01T00:00:00Z,2017,Jun,152,TN,0.393
DEP,CRTRIB0,2017-06-26T00:00:00Z,2017,Jun,177,DIN,0.044
DEP,CRTRIB0,2017-06-26T00:00:00Z,2017,Jun,177,TN,0.499
