site,short_name,region,loc_sources,latitude,longitude,DIN_mn,DIN_sd,DIN_n,DIN_md,DIN_iqr,DIN_p90,DIN_gm,TN_mn,TN_sd,TN_n,TN_md,TN_iqr,TN_p90,TN_gm
BMR02,B&M Railroad,Inner Bay,Both,43.676295,-70.250053,0.2567306785811869,0.8515308890009232,22,0.05943127335129167,0.04310195970485853,0.11090000000000001,0.06951019152719619,0.34516864055829244,0.18635867705354064,22,0.29436650077045146,0.16246585096151278,0.4558289940386103,0.31392435331526425
CBPR,Presumpscot Mouth,Inner Bay,DEP,43.679895,-70.237156,0.2685142857142857,0.8674183144744606,21,0.047,0.05600000000000001,0.137,0.07081523582307715,0.29395238095238096,0.08632582243481739,21,0.289,0.08300000000000002,0.4,0.2824659674010369
CMS1,Cousins Island,Inner Bay,FOCB,43.7519896,-70.1392618,0.02064222236955493,0.029618147367669243,9,0.010703962373327235,0.006670729930998256,0.03461179286574602,0.013073434399445022,0.22031189201978155,0.08619484067566546,9,0.179307853567286,0.054083085219952004,0.28719102833013666,0.2095438090349283
CR-31,Cousins 2,Royal River Estuary,DEP,43.81201,-70.153415,0.1737142857142857,0.13795375346556574,7,0.114,0.1565,0.371,0.13344249140595577,0.4442857142857143,0.23637943670133005,7,0.391,0.2975,0.7662,0.3956700943709649
CR00,Cousins 1,Royal River Estuary,DEP,43.82922,-70.14582,0.3125,0.16333615643818727,6,0.3215,0.21324999999999997,0.48449999999999993,0.2714436577288519,0.65,0.19330287116336373,6,0.6910000000000001,0.2739999999999999,0.837,0.6223732320403844
CRTRIB0,Cousins Trib,Royal River Estuary,DEP,43.8212,-70.16126,0.21583333333333332,0.20934413454087186,6,0.138,0.33999999999999997,0.4765,0.12469346645985058,0.7705,0.35076701669341714,6,0.7144999999999999,0.4287500000000001,1.151,0.706450936379362
EEB18,East End Beach,Inner Bay,Both,43.671281,-70.241942,0.22962827075837192,0.7806239545203123,26,0.0675,0.058499999999999996,0.118840905,0.06940658439717232,0.315616729062455,0.13433499304139357,26,0.2818993143353565,0.13262095986573047,0.47977732583097754,0.2927256135547042
FR09,Fore River 9,Fore River,DEP,43.6577,-70.23539,0.0920125,0.10963642806428735,24,0.06205,0.06175,0.1294,0.059141157153624516,0.31795833333333334,0.12281144231022956,24,0.2925,0.1205,0.4215,0.2996250269411464
HR01,Harraseeket A,Harraseeket,DEP,43.84239,-70.09994,0.054714285714285715,0.04084407050280488,7,0.045,0.01900000000000001,0.09060000000000004,0.04421888596550023,0.33485714285714285,0.09645107321232628,7,0.359,0.09250000000000003,0.4182,0.32002424385112405
HR02,Harraseeket C,Harraseeket,DEP,43.839789,-70.08581,0.05985714285714286,0.02644130967147537,7,0.073,0.0385,0.0834,0.05386595334597065,0.38857142857142857,0.1533686812258369,7,0.311,0.22049999999999992,0.5868,0.3638932806014967
